/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 0z63vs5c
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260422_094200-0z63vs5c
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run PPO_Baseline_10x10
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/0z63vs5c
Starting Baseline PPO Training on 10x10 Board...
============================================================
Game 7200 | Score: 1 | Record: 3 | Mean: 0.22 | Intrinsic: 0.000
Game 7300 | Score: 0 | Record: 3 | Mean: 0.22 | Intrinsic: 0.000
Game 7400 | Score: 0 | Record: 3 | Mean: 0.23 | Intrinsic: 0.000
Game 7500 | Score: 0 | Record: 3 | Mean: 0.23 | Intrinsic: 0.000
Game 7600 | Score: 0 | Record: 3 | Mean: 0.23 | Intrinsic: 0.000
Game 7700 | Score: 0 | Record: 3 | Mean: 0.23 | Intrinsic: 0.000
Game 7800 | Score: 0 | Record: 3 | Mean: 0.23 | Intrinsic: 0.000
Game 7900 | Score: 0 | Record: 3 | Mean: 0.23 | Intrinsic: 0.000
Game 8000 | Score: 1 | Record: 3 | Mean: 0.23 | Intrinsic: 0.000
Game 8100 | Score: 0 | Record: 3 | Mean: 0.23 | Intrinsic: 0.000
Game 8200 | Score: 0 | Record: 3 | Mean: 0.23 | Intrinsic: 0.000
Game 8300 | Score: 0 | Record: 3 | Mean: 0.23 | Intrinsic: 0.000
Game 8400 | Score: 0 | Record: 3 | Mean: 0.24 | Intrinsic: 0.000
Game 8500 | Score: 0 | Record: 3 | Mean: 0.24 | Intrinsic: 0.000
Game 8600 | Score: 0 | Record: 3 | Mean: 0.24 | Intrinsic: 0.000
Game 8700 | Score: 1 | Record: 3 | Mean: 0.24 | Intrinsic: 0.000
Game 8800 | Score: 0 | Record: 3 | Mean: 0.24 | Intrinsic: 0.000
Game 8900 | Score: 0 | Record: 3 | Mean: 0.24 | Intrinsic: 0.000
Game 9000 | Score: 0 | Record: 3 | Mean: 0.24 | Intrinsic: 0.000
Game 9100 | Score: 1 | Record: 3 | Mean: 0.24 | Intrinsic: 0.000
Game 9200 | Score: 0 | Record: 3 | Mean: 0.24 | Intrinsic: 0.000
Game 9300 | Score: 0 | Record: 3 | Mean: 0.24 | Intrinsic: 0.000
Game 9400 | Score: 0 | Record: 3 | Mean: 0.24 | Intrinsic: 0.000
Game 9500 | Score: 0 | Record: 3 | Mean: 0.24 | Intrinsic: 0.000
Game 9600 | Score: 0 | Record: 3 | Mean: 0.24 | Intrinsic: 0.000
Game 9700 | Score: 0 | Record: 3 | Mean: 0.24 | Intrinsic: 0.000
Game 9800 | Score: 0 | Record: 3 | Mean: 0.25 | Intrinsic: 0.000
Game 9900 | Score: 0 | Record: 3 | Mean: 0.25 | Intrinsic: 0.000
Game 10000 | Score: 0 | Record: 3 | Mean: 0.25 | Intrinsic: 0.000
Game 10100 | Score: 0 | Record: 3 | Mean: 0.25 | Intrinsic: 0.000
Game 10200 | Score: 0 | Record: 3 | Mean: 0.25 | Intrinsic: 0.000
Game 10300 | Score: 0 | Record: 3 | Mean: 0.25 | Intrinsic: 0.000
Game 10400 | Score: 1 | Record: 3 | Mean: 0.25 | Intrinsic: 0.000
Game 10500 | Score: 0 | Record: 3 | Mean: 0.25 | Intrinsic: 0.000
Game 10600 | Score: 0 | Record: 3 | Mean: 0.25 | Intrinsic: 0.000
Game 10700 | Score: 0 | Record: 3 | Mean: 0.25 | Intrinsic: 0.000
Game 10800 | Score: 0 | Record: 3 | Mean: 0.25 | Intrinsic: 0.000
Game 10900 | Score: 0 | Record: 3 | Mean: 0.25 | Intrinsic: 0.000
Game 11000 | Score: 0 | Record: 3 | Mean: 0.25 | Intrinsic: 0.000
Game 11100 | Score: 1 | Record: 3 | Mean: 0.25 | Intrinsic: 0.000
Game 11200 | Score: 0 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 11300 | Score: 0 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 11400 | Score: 0 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 11500 | Score: 1 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 11600 | Score: 0 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 11700 | Score: 0 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 11800 | Score: 1 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 11900 | Score: 0 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 12000 | Score: 0 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 12100 | Score: 0 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 12200 | Score: 1 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 12300 | Score: 0 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 12400 | Score: 0 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 12500 | Score: 1 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 12600 | Score: 0 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 12700 | Score: 0 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 12800 | Score: 0 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 12900 | Score: 1 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
