<The background buffer retains approximately the last half of the run>
Game 15100 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 15200 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 15300 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 15400 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 15500 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 15600 | Score: 1 | Record: 4 | Mean: 0.29 | Intrinsic: 0.003 | Eta: 0.01000
Game 15700 | Score: 1 | Record: 4 | Mean: 0.29 | Intrinsic: 0.002 | Eta: 0.01000
Game 15800 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 15900 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 16000 | Score: 1 | Record: 4 | Mean: 0.29 | Intrinsic: 0.003 | Eta: 0.01000
============================================================
Training Complete!
Best Score: 4
Final Mean Score: 0.29

Exit code: 0
