/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ndj5dr5o
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260518_070021-ndj5dr5o
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ConvDQN_v3_16x16_dense_seed2
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/ndj5dr5o
ConvDQN v3 | 16×16 dense | γ=0.995 batch=512 calls/ep=10 lr=0.000126 n_steps=1 ε_end=0.01 ε_decay/step=2.30e-06
Game 6900 | Score: 4 | Record: 9 | Mean: 1.63 | ε: 0.136 | Steps: 375,136
Game 7000 | Score: 2 | Record: 9 | Mean: 1.65 | ε: 0.127 | Steps: 379,433
Game 7100 | Score: 2 | Record: 9 | Mean: 1.67 | ε: 0.114 | Steps: 385,081
Game 7200 | Score: 5 | Record: 10 | Mean: 1.70 | ε: 0.101 | Steps: 390,547
Game 7300 | Score: 4 | Record: 10 | Mean: 1.73 | ε: 0.088 | Steps: 396,310
Game 7400 | Score: 3 | Record: 12 | Mean: 1.76 | ε: 0.074 | Steps: 402,089
Game 7500 | Score: 4 | Record: 12 | Mean: 1.80 | ε: 0.059 | Steps: 408,972
Game 7600 | Score: 8 | Record: 16 | Mean: 1.85 | ε: 0.037 | Steps: 418,345
Game 7700 | Score: 8 | Record: 24 | Mean: 1.94 | ε: 0.010 | Steps: 434,672
Game 7800 | Score: 13 | Record: 28 | Mean: 2.08 | ε: 0.010 | Steps: 461,278
Game 7900 | Score: 17 | Record: 28 | Mean: 2.22 | ε: 0.010 | Steps: 485,398
Game 8000 | Score: 17 | Record: 29 | Mean: 2.36 | ε: 0.010 | Steps: 510,092
Game 8100 | Score: 4 | Record: 32 | Mean: 2.52 | ε: 0.010 | Steps: 538,074
Game 8200 | Score: 22 | Record: 34 | Mean: 2.68 | ε: 0.010 | Steps: 566,098
Game 8300 | Score: 23 | Record: 37 | Mean: 2.82 | ε: 0.010 | Steps: 589,081
Game 8400 | Score: 18 | Record: 37 | Mean: 2.98 | ε: 0.010 | Steps: 616,631
Game 8500 | Score: 23 | Record: 40 | Mean: 3.14 | ε: 0.010 | Steps: 642,022
Game 8600 | Score: 19 | Record: 40 | Mean: 3.29 | ε: 0.010 | Steps: 670,040
Game 8700 | Score: 3 | Record: 40 | Mean: 3.47 | ε: 0.010 | Steps: 701,375
Game 8800 | Score: 9 | Record: 42 | Mean: 3.63 | ε: 0.010 | Steps: 729,774
Game 8900 | Score: 7 | Record: 42 | Mean: 3.78 | ε: 0.010 | Steps: 754,240
