/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run cfxdde3k
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260515_114819-cfxdde3k
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ConvDQN_v3_16x16_dense_seed0
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/cfxdde3k
ConvDQN v3 | 16×16 dense | γ=0.995 batch=512 calls/ep=10 lr=0.000126 n_steps=1 ε_end=0.01 ε_decay/step=2.30e-06
Game 8700 | Score: 11 | Record: 34 | Mean: 3.34 | ε: 0.010 | Steps: 732,465
Game 8800 | Score: 14 | Record: 36 | Mean: 3.49 | ε: 0.010 | Steps: 760,458
Game 8900 | Score: 18 | Record: 41 | Mean: 3.62 | ε: 0.010 | Steps: 785,643
Game 9000 | Score: 24 | Record: 43 | Mean: 3.74 | ε: 0.010 | Steps: 810,276
Game 9100 | Score: 4 | Record: 43 | Mean: 3.87 | ε: 0.010 | Steps: 836,023
Game 9200 | Score: 6 | Record: 43 | Mean: 3.99 | ε: 0.010 | Steps: 860,965
Game 9300 | Score: 21 | Record: 43 | Mean: 4.13 | ε: 0.010 | Steps: 887,361
Game 9400 | Score: 13 | Record: 43 | Mean: 4.26 | ε: 0.010 | Steps: 912,566
Game 9500 | Score: 8 | Record: 43 | Mean: 4.38 | ε: 0.010 | Steps: 935,726
Game 9600 | Score: 21 | Record: 43 | Mean: 4.53 | ε: 0.010 | Steps: 963,078
Game 9700 | Score: 12 | Record: 43 | Mean: 4.67 | ε: 0.010 | Steps: 991,345
Game 9800 | Score: 10 | Record: 43 | Mean: 4.81 | ε: 0.010 | Steps: 1,017,184
Game 9900 | Score: 2 | Record: 43 | Mean: 4.95 | ε: 0.010 | Steps: 1,044,424
Game 10000 | Score: 27 | Record: 49 | Mean: 5.07 | ε: 0.010 | Steps: 1,068,421
Game 10100 | Score: 3 | Record: 49 | Mean: 5.19 | ε: 0.010 | Steps: 1,093,471
Game 10200 | Score: 17 | Record: 49 | Mean: 5.31 | ε: 0.010 | Steps: 1,117,311
Game 10300 | Score: 28 | Record: 49 | Mean: 5.43 | ε: 0.010 | Steps: 1,141,687
Game 10400 | Score: 25 | Record: 49 | Mean: 5.57 | ε: 0.010 | Steps: 1,170,617
Game 10500 | Score: 29 | Record: 49 | Mean: 5.70 | ε: 0.010 | Steps: 1,196,773
Game 10600 | Score: 7 | Record: 49 | Mean: 5.81 | ε: 0.010 | Steps: 1,220,818
Game 10700 | Score: 2 | Record: 49 | Mean: 5.93 | ε: 0.010 | Steps: 1,244,446
Game 10800 | Score: 17 | Record: 49 | Mean: 6.05 | ε: 0.010 | Steps: 1,271,577
Game 10900 | Score: 36 | Record: 49 | Mean: 6.18 | ε: 0.010 | Steps: 1,298,256
Game 11000 | Score: 27 | Record: 49 | Mean: 6.29 | ε: 0.010 | Steps: 1,322,719
Game 11100 | Score: 32 | Record: 49 | Mean: 6.42 | ε: 0.010 | Steps: 1,350,512
Game 11200 | Score: 29 | Record: 49 | Mean: 6.53 | ε: 0.010 | Steps: 1,375,037
Game 11300 | Score: 18 | Record: 49 | Mean: 6.64 | ε: 0.010 | Steps: 1,399,411
Game 11400 | Score: 42 | Record: 51 | Mean: 6.76 | ε: 0.010 | Steps: 1,425,339
Game 11500 | Score: 43 | Record: 51 | Mean: 6.86 | ε: 0.010 | Steps: 1,449,962
Game 11600 | Score: 32 | Record: 51 | Mean: 6.98 | ε: 0.010 | Steps: 1,477,740
Game 11700 | Score: 7 | Record: 51 | Mean: 7.09 | ε: 0.010 | Steps: 1,503,651
Game 11800 | Score: 10 | Record: 51 | Mean: 7.20 | ε: 0.010 | Steps: 1,529,035
Game 11900 | Score: 11 | Record: 51 | Mean: 7.31 | ε: 0.010 | Steps: 1,556,855
Game 12000 | Score: 7 | Record: 51 | Mean: 7.41 | ε: 0.010 | Steps: 1,581,051
Game 12100 | Score: 5 | Record: 51 | Mean: 7.52 | ε: 0.010 | Steps: 1,607,732
Game 12200 | Score: 10 | Record: 51 | Mean: 7.62 | ε: 0.010 | Steps: 1,634,485
Game 12300 | Score: 23 | Record: 51 | Mean: 7.73 | ε: 0.010 | Steps: 1,662,192
Game 12400 | Score: 28 | Record: 51 | Mean: 7.83 | ε: 0.010 | Steps: 1,687,709
Game 12500 | Score: 14 | Record: 51 | Mean: 7.93 | ε: 0.010 | Steps: 1,714,202
Game 12600 | Score: 3 | Record: 51 | Mean: 8.03 | ε: 0.010 | Steps: 1,740,891
Game 12700 | Score: 45 | Record: 51 | Mean: 8.11 | ε: 0.010 | Steps: 1,763,779
Game 12800 | Score: 10 | Record: 51 | Mean: 8.20 | ε: 0.010 | Steps: 1,788,847
Game 12900 | Score: 11 | Record: 51 | Mean: 8.31 | ε: 0.010 | Steps: 1,817,246
Game 13000 | Score: 13 | Record: 53 | Mean: 8.39 | ε: 0.010 | Steps: 1,841,234
Game 13100 | Score: 37 | Record: 53 | Mean: 8.49 | ε: 0.010 | Steps: 1,868,905
Game 13200 | Score: 22 | Record: 53 | Mean: 8.59 | ε: 0.010 | Steps: 1,896,778
Game 13300 | Score: 10 | Record: 54 | Mean: 8.68 | ε: 0.010 | Steps: 1,923,505
Game 13400 | Score: 34 | Record: 54 | Mean: 8.78 | ε: 0.010 | Steps: 1,952,479
Game 13500 | Score: 34 | Record: 54 | Mean: 8.85 | ε: 0.010 | Steps: 1,975,972
Game 13600 | Score: 12 | Record: 54 | Mean: 8.94 | ε: 0.010 | Steps: 2,003,109
Game 13700 | Score: 28 | Record: 54 | Mean: 9.02 | ε: 0.010 | Steps: 2,028,604
Game 13800 | Score: 31 | Record: 54 | Mean: 9.10 | ε: 0.010 | Steps: 2,052,903
Game 13900 | Score: 26 | Record: 54 | Mean: 9.18 | ε: 0.010 | Steps: 2,078,177
[Game 14000] LR cooldown → 1e-5
Game 14000 | Score: 22 | Record: 54 | Mean: 9.27 | ε: 0.010 | Steps: 2,105,376
Game 14100 | Score: 29 | Record: 55 | Mean: 9.35 | ε: 0.010 | Steps: 2,132,615
Game 14200 | Score: 13 | Record: 55 | Mean: 9.42 | ε: 0.010 | Steps: 2,156,870
Game 14300 | Score: 2 | Record: 55 | Mean: 9.50 | ε: 0.010 | Steps: 2,183,574
Game 14400 | Score: 13 | Record: 55 | Mean: 9.57 | ε: 0.010 | Steps: 2,208,639
Game 14500 | Score: 15 | Record: 55 | Mean: 9.66 | ε: 0.010 | Steps: 2,238,013
Game 14600 | Score: 34 | Record: 63 | Mean: 9.73 | ε: 0.010 | Steps: 2,262,989
Game 14700 | Score: 10 | Record: 63 | Mean: 9.80 | ε: 0.010 | Steps: 2,290,105
Game 14800 | Score: 34 | Record: 63 | Mean: 9.89 | ε: 0.010 | Steps: 2,319,262
Game 14900 | Score: 42 | Record: 63 | Mean: 9.99 | ε: 0.010 | Steps: 2,352,548
Game 15000 | Score: 33 | Record: 63 | Mean: 10.07 | ε: 0.010 | Steps: 2,381,288
Game 15100 | Score: 18 | Record: 63 | Mean: 10.16 | ε: 0.010 | Steps: 2,410,611
Game 15200 | Score: 19 | Record: 63 | Mean: 10.24 | ε: 0.010 | Steps: 2,438,796
Game 15300 | Score: 2 | Record: 63 | Mean: 10.31 | ε: 0.010 | Steps: 2,465,019
Game 15400 | Score: 14 | Record: 63 | Mean: 10.39 | ε: 0.010 | Steps: 2,495,288
Game 15500 | Score: 28 | Record: 63 | Mean: 10.47 | ε: 0.010 | Steps: 2,524,175
Game 15600 | Score: 27 | Record: 63 | Mean: 10.54 | ε: 0.010 | Steps: 2,551,685
Game 15700 | Score: 17 | Record: 63 | Mean: 10.61 | ε: 0.010 | Steps: 2,580,611
Game 15800 | Score: 19 | Record: 63 | Mean: 10.69 | ε: 0.010 | Steps: 2,608,767
Game 15900 | Score: 16 | Record: 63 | Mean: 10.75 | ε: 0.010 | Steps: 2,636,713
Game 16000 | Score: 4 | Record: 63 | Mean: 10.83 | ε: 0.010 | Steps: 2,666,206

Done. Best: 63, Final Mean: 10.83
wandb: updating run metadata
wandb: uploading output.log; uploading wandb-summary.json; uploading config.yaml
wandb: 
wandb: Run history:
wandb:     Epsilon █▇▇▇▆▆▆▆▅▅▄▄▄▄▃▃▃▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb:        Game ▁▁▁▁▂▂▂▂▃▃▃▃▃▃▄▄▄▄▅▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇▇▇███
wandb:  Mean_Score ▁▁▁▁▁▁▁▁▂▂▂▂▂▂▂▂▂▂▂▂▃▃▄▄▄▅▅▅▅▅▆▆▇▇▇▇▇███
wandb:      Record ▁▁▁▁▁▁▁▁▁▁▂▂▂▂▂▂▂▂▂▂▃▄▅▆▆▆▆▆▆▇▇▇▇▇▇█████
wandb:       Score ▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▂▃▂▂▃▁▁▄▆▇▆▄█▂▃▆▃▁▇▁▃▃█▄
wandb: Total_Steps ▁▁▁▁▁▁▁▁▂▂▂▂▂▂▂▂▂▂▂▂▂▃▃▃▃▄▄▄▅▅▅▅▅▅▆▆▆▇▇█
wandb: 
wandb: Run summary:
wandb:     Epsilon 0.01
wandb:        Game 16000
wandb:  Mean_Score 10.82656
wandb:      Record 63
wandb:       Score 4
wandb: Total_Steps 2666206
wandb: 
wandb: 🚀 View run ConvDQN_v3_16x16_dense_seed0 at: https://wandb.ai/saheb37/rl-snake/runs/cfxdde3k
wandb: ⭐️ View project at: https://wandb.ai/saheb37/rl-snake
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260515_114819-cfxdde3k/logs
