/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run mkhy8jw0
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260518_145553-mkhy8jw0
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ConvDQN_RND_16x16_dense_seed0
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/mkhy8jw0
ConvDQN+RND | 16×16 dense | γ=0.995 batch=512 calls/ep=10 lr=0.000126 β_rnd=0.05 ε_decay/step=3.68e-06
Game 7400 | Score: 10 | Record: 44 | Mean: 6.96 | ε: 0.010 | RND_loss: 0.0000 | Steps: 955,321
Game 7500 | Score: 30 | Record: 44 | Mean: 7.10 | ε: 0.010 | RND_loss: 0.0000 | Steps: 978,071
Game 7600 | Score: 28 | Record: 45 | Mean: 7.23 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,000,251
Game 7700 | Score: 5 | Record: 56 | Mean: 7.35 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,022,252
Game 7800 | Score: 34 | Record: 56 | Mean: 7.50 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,046,707
Game 7900 | Score: 13 | Record: 56 | Mean: 7.64 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,070,157
Game 8000 | Score: 20 | Record: 56 | Mean: 7.78 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,094,575
Game 8100 | Score: 22 | Record: 56 | Mean: 7.89 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,116,357
Game 8200 | Score: 16 | Record: 56 | Mean: 8.02 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,139,325
Game 8300 | Score: 11 | Record: 56 | Mean: 8.15 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,163,025
Game 8400 | Score: 19 | Record: 56 | Mean: 8.26 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,184,160
