/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run cd1zjnl5
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260424_102813-cd1zjnl5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run DQN_v10_richstate_Baseline_noPER_10x10
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/cd1zjnl5
Starting Baseline DQN Training (Dueling + 3-Step) on 10x10 Board...
Game 9700 | Score: 29 | Record: 56 | Mean Score: 9.41 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9800 | Score: 0 | Record: 56 | Mean Score: 9.42 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9900 | Score: 16 | Record: 56 | Mean Score: 9.46 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10000 | Score: 34 | Record: 56 | Mean Score: 9.50 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10100 | Score: 0 | Record: 56 | Mean Score: 9.52 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10200 | Score: 0 | Record: 56 | Mean Score: 9.55 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10300 | Score: 0 | Record: 56 | Mean Score: 9.56 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10400 | Score: 0 | Record: 56 | Mean Score: 9.59 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10500 | Score: 0 | Record: 56 | Mean Score: 9.60 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10600 | Score: 0 | Record: 56 | Mean Score: 9.64 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10700 | Score: 0 | Record: 56 | Mean Score: 9.64 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10800 | Score: 9 | Record: 56 | Mean Score: 9.65 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10900 | Score: 0 | Record: 56 | Mean Score: 9.65 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11000 | Score: 34 | Record: 56 | Mean Score: 9.68 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11100 | Score: 0 | Record: 56 | Mean Score: 9.71 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11200 | Score: 8 | Record: 56 | Mean Score: 9.72 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11300 | Score: 0 | Record: 56 | Mean Score: 9.75 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11400 | Score: 36 | Record: 56 | Mean Score: 9.78 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11500 | Score: 0 | Record: 56 | Mean Score: 9.82 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11600 | Score: 0 | Record: 56 | Mean Score: 9.83 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11700 | Score: 0 | Record: 56 | Mean Score: 9.86 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11800 | Score: 0 | Record: 56 | Mean Score: 9.85 | Epsilon: 0.01 | Intrinsic: 0.000
